iri	label	type	term_kind	definition	comment	example	domain_iris	range_iris	parent_iris
https://enpkg.commons-lab.org/kg/Annotation	Spectrum annotation	http://www.w3.org/2000/01/rdf-schema#Class	class		A spectral annotation				
https://enpkg.commons-lab.org/kg/BioAssayResults	A bioassay result	http://www.w3.org/2000/01/rdf-schema#Class	class		An object to store bioactivity results				
https://enpkg.commons-lab.org/kg/ChemicalEntity	A chemical entity (chemical structure or class)	http://www.w3.org/2000/01/rdf-schema#Class	class						
https://enpkg.commons-lab.org/kg/ChemicalTaxonomy	A chemical taxonmy (chemical class)	http://www.w3.org/2000/01/rdf-schema#Class	class						
https://enpkg.commons-lab.org/kg/GNPSAnnotation	GNPS structural annotation	http://www.w3.org/2000/01/rdf-schema#Class	class		A spectrum structural annotation by GNPS				https://enpkg.commons-lab.org/kg/Annotation
https://enpkg.commons-lab.org/kg/InChIkey	InChIKey	http://www.w3.org/2000/01/rdf-schema#Class	class		A chemical structure represented by its InChIKey				https://enpkg.commons-lab.org/kg/ChemicalEntity
https://enpkg.commons-lab.org/kg/InChIkey2D	2D InChIKey	http://www.w3.org/2000/01/rdf-schema#Class	class		The first 14 characters of an InChIKey, often returned by MS-based annotation tools				
https://enpkg.commons-lab.org/kg/IsdbAnnotation	ISDB structural annotation	http://www.w3.org/2000/01/rdf-schema#Class	class		A spectrum structural annotation by comparison with an in-silico spectral DB, coupled to chemical and taxonomical reweighting				https://enpkg.commons-lab.org/kg/Annotation
https://enpkg.commons-lab.org/kg/LCMSAnalysis	LCMS analysis	http://www.w3.org/2000/01/rdf-schema#Class	class		An LCMS analysis in a given ionization mode (pos or neg)				
https://enpkg.commons-lab.org/kg/LCMSAnalysisNeg	Neg LCMS analysis	http://www.w3.org/2000/01/rdf-schema#Class	class		An LCMS analysis in negative ionization mode (pos or neg)				https://enpkg.commons-lab.org/kg/LCMSAnalysis
https://enpkg.commons-lab.org/kg/LCMSAnalysisPos	Pos LCMS analysis	http://www.w3.org/2000/01/rdf-schema#Class	class		An LCMS analysis in positive ionization mode (pos or neg)				https://enpkg.commons-lab.org/kg/LCMSAnalysis
https://enpkg.commons-lab.org/kg/LCMSFeature	LCMS individual MS2 spectrum	http://www.w3.org/2000/01/rdf-schema#Class	class		An LCMS feature from a processed LCMS analysis				https://enpkg.commons-lab.org/kg/MS2Spectrum
https://enpkg.commons-lab.org/kg/LCMSFeatureList	Feature list	http://www.w3.org/2000/01/rdf-schema#Class	class		A list of LCMS features obtained from the processing of a given LCMS analysis				
https://enpkg.commons-lab.org/kg/LFpair	pair of LCMSFeature	http://www.w3.org/2000/01/rdf-schema#Class	class		A pair of 2 LCMSFeature				https://enpkg.commons-lab.org/kg/SpectralPair
https://enpkg.commons-lab.org/kg/LabBlank	A LabBlank	http://www.w3.org/2000/01/rdf-schema#Class	class		A blank sample				https://enpkg.commons-lab.org/kg/LabObject
https://enpkg.commons-lab.org/kg/LabExtract	A LabExtract	http://www.w3.org/2000/01/rdf-schema#Class	class		A natural extract obtained from the processing of a RawMaterial				https://enpkg.commons-lab.org/kg/LabObject
https://enpkg.commons-lab.org/kg/LabObject	A LabObject	http://www.w3.org/2000/01/rdf-schema#Class	class		An object that correspond to a physical laboratory object				
https://enpkg.commons-lab.org/kg/LabQc	A LabQc	http://www.w3.org/2000/01/rdf-schema#Class	class		A quality control (QC) sample				https://enpkg.commons-lab.org/kg/LabObject
https://enpkg.commons-lab.org/kg/MS2Spectrum	MS2 spectrum	http://www.w3.org/2000/01/rdf-schema#Class	class		A fragmentation mass spectrometry (or MS2) spectrum				
https://enpkg.commons-lab.org/kg/NPCClass	NPCClass	http://www.w3.org/2000/01/rdf-schema#Class	class		A NPClassifier (NPC) chemical class				https://enpkg.commons-lab.org/kg/ChemicalTaxonomy
https://enpkg.commons-lab.org/kg/NPCPathway	NPCPathway	http://www.w3.org/2000/01/rdf-schema#Class	class		A NPClassifier (NPC) chemical pathway				https://enpkg.commons-lab.org/kg/ChemicalTaxonomy
https://enpkg.commons-lab.org/kg/NPCSuperclass	NPCSuperclass	http://www.w3.org/2000/01/rdf-schema#Class	class		A NPClassifier (NPC) chemical superclass				https://enpkg.commons-lab.org/kg/ChemicalTaxonomy
