source_term_source	source_term_iri	source_term_label	source_term_kind	canonical_term_iri	canonical_term_label	canonical_term_source	canonical_term_kind	relation	status	curator	curator_name	reviewer	reviewer_name	date_reviewed	curation_comment
EMI	https://w3id.org/emi#Aliquot	Aliquot	class	http://purl.obolibrary.org/obo/NCIT_C25414	Aliquot	NCIT	class	owl:equivalentClass	approved	auto		0000-0003-0443-9902	Adriano Rutz	2026-03-24T13:13:07Z	Done during 2026-03-26 meeting
EMI	https://w3id.org/emi#Analysis	Analysis	class	http://purl.obolibrary.org/obo/NCIT_C25391	Analysis	NCIT	class	rdfs:subClassOf	approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-24T13:50:49Z	Check the initial scope of https://w3id.org/emi#Analysis and refine if matches more precise subclasses of http://purl.obolibrary.org/obo/NCIT_C25391. Again check also if SOSA should be used here
EMI	https://w3id.org/emi#BioassayAnalysis	Bioassay analysis	class	http://purl.obolibrary.org/obo/NCIT_C103158	Bioassay Measurement	NCIT	class		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-23T20:19:45Z	Could alternatively be mapped to http://www.w3.org/ns/sosa/Observation ?
EMI	https://w3id.org/emi#BioAssayResults	Bioassay result	class	http://www.w3.org/ns/sosa/Result	Result	SOSA	class		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-23T20:13:07Z	Check wether we want to maximally reuse SOSA
EMI	https://w3id.org/emi#BiologicalSex	biological sex	class	http://semanticscience.org/resource/SIO_010029	biological sex	SIO	class	owl:equivalentClass	approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-24T14:00:01Z	Also check http://purl.obolibrary.org/obo/PATO_0000047
EMI	https://w3id.org/emi#AnatomicalEntity	Anatomical entity	class	http://purl.obolibrary.org/obo/UBERON_0001062	anatomical entity	OBI	class	owl:equivalentClass	approved	auto		0000-0003-0443-9902	Adriano Rutz	2026-03-24T13:21:44Z	Done during 2026-03-26 meeting
EMI	https://w3id.org/emi#Blank	Blank sample	class	https://w3id.org/emi#Blank	Blank sample	EMI	class		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-23T20:22:00Z	Should be a subset of Sample ?
EMI	https://w3id.org/emi#Chemical	Chemical	class	http://purl.obolibrary.org/obo/CHEBI_24431	chemical entity	CHEBI	class	owl:equivalentClass	approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-23T20:27:10Z	
EMI	https://w3id.org/emi#ChemicalEntity	Chemical entity	class	http://semanticscience.org/resource/CHEMINF_000000	chemical entity	CHEMINF	class	owl:equivalentClass	approved	auto		0000-0003-0443-9902	Adriano Rutz	2026-03-05T08:05:33Z	
EMI	https://w3id.org/emi#ChemicalStructure	Chemical structure representation	class	https://w3id.org/emi#ChemicalStructure	Chemical structure representation	EMI	class		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-23T20:29:44Z	Is this Class needed ?
EMI	https://w3id.org/emi#ComputationalAnalysis	Computational analysis	class	http://purl.obolibrary.org/obo/NCIT_C19233	Computational Technique	NCIT	class	skos:relatedMatch	approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-24T10:00:06Z	
EMI	https://w3id.org/emi#CSpair	GNPS consensus spectra pair	class	https://w3id.org/emi#CSpair	GNPS consensus spectra pair	EMI	class		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-24T14:39:19Z	Might be deleted on the long term. Check for the initial use of the https://w3id.org/emi#CSpair
EMI	https://w3id.org/emi#DevelopmentalStage	Developmental stage	class	http://purl.obolibrary.org/obo/NCIT_C43531	Developmental Stage	NCIT	class	owl:equivalentClass	approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-24T10:02:00Z	
EMI	https://w3id.org/emi#ExtractSample	Extract sample	class	http://purl.obolibrary.org/obo/NCIT_C82948	Extract	NCIT	class	rdfs:subClassOf	approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-24T10:03:26Z	
EMI	https://w3id.org/emi#GNPSConsensusSpectrum	GNPS consensus MS2 spectrum	class	http://purl.obolibrary.org/obo/MS_1003323	spectrum cluster consensus spectrum	MS	class		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-24T10:05:25Z	Ideally the platform or tool should be disconnected from the class itself
EMI	https://w3id.org/emi#hasRetentionTime	has retention time	property	https://w3id.org/emi#hasRetentionTime	has retention time	EMI	property		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-10T07:10:52Z	http://purl.allotrope.org/ontologies/result#AFR_0001089 is pretty close, but as far as investigated no properties associated to RT. Brings the more generic question of how to decide wether a class or a property should be used/created
EMI	https://w3id.org/emi#InChIKey	InChIKey	class	http://semanticscience.org/resource/CHEMINF_000059	InChIKey	CHEMINF	class	owl:equivalentClass	approved	auto		0000-0003-0443-9902	Adriano Rutz	2026-03-05T08:04:20Z	
EMI	https://w3id.org/emi#InChIKey2D	2D InChIKey	class	http://edamontology.org/format_1199	InChIKey	EDAM	class	skos:relatedMatch	approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-24T10:07:59Z	EDAM could worth having a look at
EMI	https://w3id.org/emi#LCMSAnalysis	LCMS analysis	class	https://w3id.org/emi#LCMSAnalysis	LCMS analysis	EMI	class		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-09T20:03:07Z	Apparently no equivalent. There is http://purl.obolibrary.org/obo/MMO_0000535 but that's not the analysis itself. It's the instrument to realize such analysis. Maybe use SOSA here.
EMI	https://w3id.org/emi#LCMSAnalysisPos	Positive LCMS analysis	class	https://w3id.org/emi#LCMSAnalysisPos	Positive LCMS analysis	EMI	class		approved	auto		0000-0003-3389-2191	Pierre-Marie Allard	2026-03-09T20:05:12Z	Keep. There is http://purl.obolibrary.org/obo/CHMO_0002763 which is subclass of negative !
