alignment_id	left_source	left_term_iri	left_label	left_definition	left_comment	left_example	right_source	right_term_iri	right_label	right_definition	right_comment	right_example	ols_term_api_url	normalized_left_label	normalized_right_label	match_method	match_score	relation	suggestion_source	canonical_from	canonical_term_iri	canonical_term_label	canonical_term_source	ols_search_url	bioportal_search_url	status	curator	reviewer	date_added	date_reviewed	notes
CAND_0001	ENPKG	https://enpkg.commons-lab.org/kg/Annotation	Spectrum annotation		A spectral annotation		EMI	https://w3id.org/emi#SpectrumAnnotation	Spectrum annotation		A spectral annotation.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:SpectrumAnnotation .		spectrum annotation	spectrum annotation	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=Spectrum+annotation	https://bioportal.bioontology.org/search?query=Spectrum+annotation	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0002	ENPKG	https://enpkg.commons-lab.org/kg/BioAssayResults	A bioassay result		An object to store bioactivity results		EMI	https://w3id.org/emi#BioAssayResults	Bioassay result		An object to store bioactivity results.			bioassay result	bioassay result	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=A+bioassay+result	https://bioportal.bioontology.org/search?query=A+bioassay+result	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0003	ENPKG	https://enpkg.commons-lab.org/kg/ChemicalEntity	A chemical entity (chemical structure or class)				EMI	https://w3id.org/emi#ChemicalEntity	Chemical entity		A chemical entity (chemical structure or class).			chemical entity	chemical entity	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=A+chemical+entity+%28chemical+structure+or+class%29	https://bioportal.bioontology.org/search?query=A+chemical+entity+%28chemical+structure+or+class%29	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0004	ENPKG	https://enpkg.commons-lab.org/kg/InChIkey	InChIKey		A chemical structure represented by its InChIKey		EMI	https://w3id.org/emi#InChIKey	InChIKey		A chemical structure represented by its InChIKey.			in ch ikey	in ch ikey	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=InChIKey	https://bioportal.bioontology.org/search?query=InChIKey	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0005	ENPKG	https://enpkg.commons-lab.org/kg/InChIkey2D	2D InChIKey		The first 14 characters of an InChIKey, often returned by MS-based annotation tools		EMI	https://w3id.org/emi#InChIKey2D	2D InChIKey		A collection of chemical structures that share the first 14 characters of their InChIKeys, often returned by mass spectrometry based annotation tools.			2 d in ch ikey	2 d in ch ikey	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=2D+InChIKey	https://bioportal.bioontology.org/search?query=2D+InChIKey	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0006	ENPKG	https://enpkg.commons-lab.org/kg/LCMSAnalysis	LCMS analysis		An LCMS analysis in a given ionization mode (pos or neg)		EMI	https://w3id.org/emi#LCMSAnalysis	LCMS analysis		A liquid chromatography\u2013mass spectrometry (LCMS) analysis in a given ionization mode (pos or neg).	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:VGF138_A02_neg.mzXML rdf:type emi:LCMSAnalysis .		lcms analysis	lcms analysis	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=LCMS+analysis	https://bioportal.bioontology.org/search?query=LCMS+analysis	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0007	ENPKG	https://enpkg.commons-lab.org/kg/LCMSFeature	LCMS individual MS2 spectrum		An LCMS feature from a processed LCMS analysis		EMI	https://w3id.org/emi#LCMSFeature	LCMS individual MS2 spectrum		"An LCMS feature from a processed LCMS analysis. Recommendation: instances of this class are ideally built as follows: ""https://metabolomics-usi.ucsd.edu/dashinterface/?usi1={id}"" (e.g., https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=mzspec:MSV000090090:DBGI_01_04_001_features_ms2_pos.mgf:scan:1)."	@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature .		lcms individual ms2 spectrum	lcms individual ms2 spectrum	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=LCMS+individual+MS2+spectrum	https://bioportal.bioontology.org/search?query=LCMS+individual+MS2+spectrum	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0008	ENPKG	https://enpkg.commons-lab.org/kg/MS2Spectrum	MS2 spectrum		A fragmentation mass spectrometry (or MS2) spectrum		EMI	https://w3id.org/emi#MS2Spectrum	MS2 spectrum		A fragmentation mass spectrometry (or MS2) spectrum.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:MS2Spectrum .		ms2 spectrum	ms2 spectrum	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=MS2+spectrum	https://bioportal.bioontology.org/search?query=MS2+spectrum	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0009	ENPKG	https://enpkg.commons-lab.org/kg/RawMaterial	A RawMaterial		A raw laboratory biological material, i.e. before extraction		EMI	https://w3id.org/emi#RawMaterial	Raw material		A raw laboratory biological material, i.e., before extraction.			raw material	raw material	exact_normalized	1.00	exact	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=A+RawMaterial	https://bioportal.bioontology.org/search?query=A+RawMaterial	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0010	ENPKG	https://enpkg.commons-lab.org/kg/ChemicalTaxonomy	A chemical taxonmy (chemical class)				EMI	https://w3id.org/emi#ChemicalTaxon	Chemical taxon		As a taxonomy for chemicals such as natural products, we recommend to use the taxonomy derived from NPClassifier (i.e., https://w3id.org/emi/npc).			chemical taxonmy	chemical taxon	fuzzy_ratio	0.93	close	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=A+chemical+taxonmy+%28chemical+class%29	https://bioportal.bioontology.org/search?query=A+chemical+taxonmy+%28chemical+class%29	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0011	ENPKG	https://enpkg.commons-lab.org/kg/LCMSAnalysisNeg	Neg LCMS analysis		An LCMS analysis in negative ionization mode (pos or neg)		EMI	https://w3id.org/emi#LCMSAnalysisNeg	Negative LCMS analysis		An LCMS analysis in negative ionization mode (pos or neg).	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:VGF138_A02_neg.mzXML rdf:type emi:LCMSAnalysisNeg .		neg lcms analysis	negative lcms analysis	fuzzy_ratio	0.87	close	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=Neg+LCMS+analysis	https://bioportal.bioontology.org/search?query=Neg+LCMS+analysis	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0012	ENPKG	https://enpkg.commons-lab.org/kg/LCMSAnalysisPos	Pos LCMS analysis		An LCMS analysis in positive ionization mode (pos or neg)		EMI	https://w3id.org/emi#LCMSAnalysisPos	Positive LCMS analysis		An LCMS analysis in positive ionization mode (positive or negative).	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:VGF138_A02_pos.mzXML rdf:type emi:LCMSAnalysisPos .		pos lcms analysis	positive lcms analysis	fuzzy_ratio	0.87	close	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=Pos+LCMS+analysis	https://bioportal.bioontology.org/search?query=Pos+LCMS+analysis	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0013	ENPKG	https://enpkg.commons-lab.org/kg/Spec2VecLoss	A Spec2VecLoss		A Spec2VecLoss that partly characterizes an MS2Spectrum		EMI	https://w3id.org/emi#hasSpec2VecLoss	has spec2vec loss		The Spec2Vec losses of a Spec2Vec document.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n:spec2vec_doc_mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:Spec2VecDoc ;\n            emi:hasSpec2VecLoss ""157.86""^^xsd:double ."		spec2 vec loss	has spec2vec loss	fuzzy_ratio	0.84	related	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=A+Spec2VecLoss	https://bioportal.bioontology.org/search?query=A+Spec2VecLoss	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
CAND_0014	ENPKG	https://enpkg.commons-lab.org/kg/Spec2VecPeak	A Spec2VecPeak		A Spec2VecPeak that partly characterizes an MS2 spectrum		EMI	https://w3id.org/emi#hasSpec2VecPeak	has spec2vec peak		The Spec2Vec peaks of a Spec2Vec document.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n:spec2vec_doc_mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:Spec2VecDoc ;\n            emi:hasSpec2VecPeak ""271.02""^^xsd:double ."		spec2 vec peak	has spec2vec peak	fuzzy_ratio	0.84	related	local_fuzzy					https://www.ebi.ac.uk/ols4/search?q=A+Spec2VecPeak	https://bioportal.bioontology.org/search?query=A+Spec2VecPeak	needs_review	auto		2026-03-02T20:42:43Z		Auto-suggested local pair; review definition/scope before approval
