ontology	label	description	url	homepage_url	ols_url	ontology_iri	version_iri	last_loaded
addicto	Addiction Ontology	The Addiction Ontology (AddictO) is an ontology being developed all aspects of addiction research.	https://addictovocab.org	https://addictovocab.org	https://www.ebi.ac.uk/ols4/ontologies/addicto	addicto	http://addictovocab.org/addicto.owl/2025-09-24	2026-03-01T05:10:59.588302567
ado	Alzheimer's Disease Ontology (ADO)	Alzheimer's Disease Ontology is a knowledge-based ontology that encompasses varieties of concepts related to Alzheimer'S Disease, foundamentally structured by upper level Basic Formal Ontology(BFO). This Ontology is enriched by the interrelational entities that demonstrate the nextwork of the understanding on Alzheimer's disease and can be readily applied for text mining.	https://github.com/Fraunhofer-SCAI-Applied-Semantics/ADO	https://github.com/Fraunhofer-SCAI-Applied-Semantics/ADO	https://www.ebi.ac.uk/ols4/ontologies/ado	ado	http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl	2026-03-01T04:35:48.598018269
aeo	Anatomical Entity Ontology	AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology	https://github.com/obophenotype/human-developmental-anatomy-ontology/	https://github.com/obophenotype/human-developmental-anatomy-ontology/	https://www.ebi.ac.uk/ols4/ontologies/aeo	aeo	http://purl.obolibrary.org/obo/aeo/releases/2022-09-13/aeo.owl	2026-03-01T05:09:22.916924305
afo	Allotrope Merged Ontology Suite	Allotrope Merged Ontology Suite	https://www.ebi.ac.uk/ols4/ontologies/afo		https://www.ebi.ac.uk/ols4/ontologies/afo	afo	http://purl.allotrope.org/voc/afo/merged/REC/2025/12/merged-without-qudt-and-inferred	2026-03-01T05:23:20.170309336
afpo	African Population Ontology	AfPO is an ontology that can be used in the study of diverse populations across Africa. It brings together publicly available demographic, anthropological and genetic data relating to African people in a standardised and structured format. The AfPO can be employed to classify African study participants comprehensively in prospective research studies. It can also be used to classify past study participants by mapping them using a language or ethnicity identifier or synonyms.	https://github.com/h3abionet/afpo	https://github.com/h3abionet/afpo	https://www.ebi.ac.uk/ols4/ontologies/afpo	afpo	http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl	2026-03-01T04:35:49.449002877
agro	Agronomy Ontology	AgrO is an ontlogy for representing agronomic practices, techniques, variables and related entities	https://github.com/AgriculturalSemantics/agro	https://github.com/AgriculturalSemantics/agro	https://www.ebi.ac.uk/ols4/ontologies/agro	agro	http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl	2026-03-01T04:35:50.080743785
aism	Ontology for the Anatomy of the Insect SkeletoMuscular system	The ontology for the Anatomy of the Insect SkeletoMuscular system (AISM) contains terms used to describe the cuticle - as a single anatomical structure - and the skeletal muscle system, to be used in insect biodiversity research.	https://github.com/insect-morphology/aism	https://github.com/insect-morphology/aism	https://www.ebi.ac.uk/ols4/ontologies/aism	aism	http://purl.obolibrary.org/obo/aism/releases/2026-02-14/aism.owl	2026-03-01T04:35:52.577842161
amphx	Amphioxus Development and Anatomy Ontology (AMPHX)	An ontology for the development and anatomy of Amphioxus (Branchiostoma lanceolatum).	https://github.com/EBISPOT/amphx_ontology	https://github.com/EBISPOT/amphx_ontology	https://www.ebi.ac.uk/ols4/ontologies/amphx	amphx	http://purl.obolibrary.org/obo/amphx/releases/2020-12-18/amphx.owl	2026-03-01T04:35:55.682675752
apo	Ascomycete Phenotype Ontology (APO)	A structured controlled vocabulary for the phenotypes of Ascomycete fungi.	http://www.yeastgenome.org/	http://www.yeastgenome.org/	https://www.ebi.ac.uk/ols4/ontologies/apo	apo	http://purl.obolibrary.org/obo/apo/releases/2026-01-12/apo.owl	2026-03-01T04:35:55.806674160
apollo_sv	Apollo Structured Vocabulary	An OWL2 ontology of phenomena in infectious disease epidemiology and population biology for use in epidemic simulation.	https://github.com/ApolloDev/apollo-sv	https://github.com/ApolloDev/apollo-sv	https://www.ebi.ac.uk/ols4/ontologies/apollo_sv	apollo_sv	http://purl.obolibrary.org/obo/apollo_sv/releases/2024-12-24/apollo_sv.owl	2026-03-01T04:35:56.055595064
aro	Antibiotic Resistance Ontology	Antibiotic resistance genes and mutations	https://github.com/arpcard/aro	https://github.com/arpcard/aro	https://www.ebi.ac.uk/ols4/ontologies/aro	aro		2026-03-01T04:35:57.158764415
